"clip_id","smiler_id","culture","smile_type","stimulus","frame","time_s","Neutral","Happy","Sad","Angry","Surprised","Scared","Disgusted","Contempt","AU01","AU02","AU04","AU05","AU06","AU07","AU09","AU10","AU12","AU14","AU15","AU17","AU18","AU20","AU23","AU24","AU25","AU26","AU27","AU43"
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",14,1.625,0.3038086,0.4037151,0.002159604,0.0217103,0.002066653,0.000231341,0.008814158,0.009294374,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",15,1.75,0.2962611,0.417622,0.001822912,0.02032463,0.001825524,0.000211517,0.008682279,0.008986652,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",16,1.875,0.2904511,0.4321035,0.001562113,0.01821219,0.002110727,0.000183157,0.007682839,0.01248894,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",17,2,0.280521,0.4514909,0.001590154,0.01837642,0.002172736,0.000176896,0.007713323,0.01103318,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",18,2.125,0.2784953,0.4538189,0.001577073,0.0240998,0.001785163,0.000252521,0.008988883,0.009393364,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",19,2.25,0.2853092,0.4399124,0.001494662,0.03750633,0.001345047,0.000250915,0.01092526,0.008671052,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",20,2.375,0.2555312,0.4982211,0.00117905,0.04629669,0.001077899,0.00035282,0.008921365,0.01076677,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",21,2.5,0.2314935,0.5444748,0.000987874,0.04888118,0.000999345,0.000434469,0.007859804,0.01008494,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",22,2.625,0.2172445,0.5727793,0.000888819,0.05061457,0.000833764,0.000535027,0.008869605,0.009841708,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",23,2.75,0.2165403,0.5728947,0.000893015,0.04920627,0.000757947,0.00062414,0.009255338,0.01197621,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",24,2.875,0.2350988,0.5374318,0.001245511,0.04132855,0.000665489,0.000730686,0.01459124,0.01056092,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",25,3,0.2583271,0.4924155,0.001686535,0.0368897,0.000605263,0.001199465,0.02277185,0.007462069,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",26,3.125,0.2800919,0.4514842,0.001873407,0.04185671,0.000671522,0.00128501,0.03178361,0.005602274,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",27,3.25,0.2738529,0.4623861,0.001466837,0.04162658,0.000723213,0.000980134,0.02470791,0.005958299,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",28,3.375,0.2734585,0.4662017,0.001266983,0.04431752,0.001060532,0.000763015,0.01915528,0.00697334,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",29,3.5,0.2953217,0.4242578,0.001412989,0.04145342,0.001388913,0.000620481,0.01785376,0.009355582,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
